project,street,type,district,segment,tenure,commence,sale,area,price,level,date
TOWNHOUSE APARTMENTS,CAVENAGH ROAD,Apartment,9,CCR,99 years,1977.0,Resale,2368.08,2450962.8,06 to 10,Dec-24
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,freehold,1885.0,Sub Sale,861.12,1909964.16,06 to 10,Dec-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,764.24,1695084.32,06 to 10,Dec-24
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,freehold,1885.0,Sub Sale,1194.8,2620196.4,06 to 10,Dec-24
PARK NOVA,TOMLINSON ROAD,Apartment,10,CCR,freehold,,New Sale,2895.52,15989061.44,16 to 20,Dec-24
COUNTRY ESQUIRE,LORONG PUNTONG,Condominium,20,RCR,freehold,,Resale,1270.15,2230383.4000000004,11 to 15,Dec-24
RESIDENTIAL APARTMENTS,KIM KEAT ROAD,Apartment,12,RCR,freehold,,Resale,1744.84,6920035.4399999995,01 to 05,Dec-24
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,1227.1,1619771.9999999998,01 to 05,Dec-24
CASABLANCA,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2001.0,Resale,925.7,1034932.6,16 to 20,Dec-24
KOVAN MELODY,KOVAN ROAD,Condominium,19,OCR,99 years,2004.0,Resale,871.88,1499633.6,11 to 15,Dec-24
KOVAN RESIDENCES,KOVAN ROAD,Condominium,19,OCR,99 years,2007.0,Resale,1280.92,2319746.12,06 to 10,Dec-24
448@EAST COAST,EAST COAST ROAD,Apartment,15,OCR,freehold,,Resale,430.56,743146.56,01 to 05,Dec-24
PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 years,1995.0,Resale,1076.4,1200186.0,01 to 05,Dec-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,1237.86,2199677.2199999997,06 to 10,Dec-24
RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 years,2011.0,Resale,1162.51,1620538.94,06 to 10,Dec-24
THE SAIL @ MARINA BAY,MARINA BOULEVARD,Apartment,1,CCR,99 years,2002.0,Resale,613.55,1260231.7,16 to 20,Dec-24
WATERSCAPE AT CAVENAGH,CAVENAGH ROAD,Apartment,9,CCR,freehold,,Resale,1388.56,2957632.8,01 to 05,Dec-24
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,Condominium,16,OCR,99 years,2009.0,Resale,871.88,1355773.4,11 to 15,Dec-24
SORA,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,731.95,1622001.2000000002,01 to 05,Dec-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,1162.51,2171568.68,01 to 05,Dec-24
