project,street,type,district,segment,tenure,commence,sale,area,price,level,date
VIEW AT KISMIS,LORONG KISMIS,Apartment,21,RCR,99 years,2019.0,Sub Sale,893.41,1850252.11,01 to 05,Jul-24
DOUBLE BAY RESIDENCES,SIMEI STREET 4,Condominium,18,OCR,99 years,2008.0,Resale,936.47,1329787.4,06 to 10,Jul-24
STILLZ RESIDENCE,LORONG 108 CHANGI,Apartment,15,RCR,freehold,,Resale,2066.69,2227891.82,01 to 05,Jul-24
NATHAN SUITES,NATHAN ROAD,Condominium,10,CCR,freehold,,Resale,2023.63,4500553.12,11 to 15,Jul-24
BOTANIQUE AT BARTLEY,UPPER PAYA LEBAR ROAD,Condominium,19,OCR,99 years,2014.0,Resale,688.9,1100173.3,16 to 20,Jul-24
THE ORIENT,PASIR PANJANG ROAD,Apartment,5,RCR,freehold,,Resale,624.31,1199923.8199999998,01 to 05,Jul-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years,2013.0,Resale,1119.46,1637769.98,01 to 05,Jul-24
FORETT@BUKIT TIMAH,TOH TUCK ROAD,Apartment,21,RCR,freehold,,Sub Sale,753.48,1750334.04,01 to 05,Jul-24
SUNSHINE LODGE,UPPER SERANGOON ROAD,Apartment,19,OCR,freehold,,Resale,1915.99,2080765.14,01 to 05,Jul-24
THE TRE VER,POTONG PASIR AVENUE 1,Condominium,13,RCR,99 years,2018.0,Resale,699.66,1420309.8,11 to 15,Jul-24
HIGHGATE,TOH TUCK ROAD,Condominium,21,RCR,freehold,,Resale,1323.97,2079956.87,06 to 10,Jul-24
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 years,2011.0,Resale,807.3,1499963.4,26 to 30,Jul-24
THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 years,2008.0,Resale,1216.33,1620151.5599999998,06 to 10,Jul-24
CASA FLORA,SALAM WALK,Condominium,16,OCR,freehold,,Resale,1560.78,1999359.18,01 to 05,Jul-24
THE BAYSHORE,BAYSHORE ROAD,Condominium,16,OCR,99 years,1993.0,Resale,1431.61,2100171.8699999996,16 to 20,Jul-24
ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 years,2012.0,Resale,667.37,975027.57,06 to 10,Jul-24
8 @ MOUNT SOPHIA,MOUNT SOPHIA,Condominium,9,CCR,others,2002.0,Resale,861.12,1384680.96,06 to 10,Jul-24
KOVAN GRANDEUR,TAMPINES ROAD,Apartment,19,OCR,99 years,2010.0,Resale,914.94,969836.4,01 to 05,Jul-24
HILLVIEW 128,HILLVIEW AVENUE,Apartment,23,OCR,freehold,1885.0,Resale,1054.87,1450446.2499999998,01 to 05,Jul-24
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,1345.5,1859481.0,06 to 10,Jul-24
SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 years,2014.0,Resale,958.0,1800082.0,11 to 15,Jul-24
DOVER PARKVIEW,DOVER RISE,Condominium,5,RCR,99 years,1993.0,Resale,968.76,1270044.36,01 to 05,Jul-24
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 years,2011.0,Resale,699.66,1269882.9,11 to 15,Jul-24
AQUARIUS BY THE PARK,BEDOK RESERVOIR VIEW,Condominium,16,OCR,99 years,1996.0,Resale,1227.1,1559644.1,01 to 05,Jul-24
URBAN VISTA,TANAH MERAH KECHIL LINK,Condominium,16,OCR,99 years,2012.0,Resale,624.31,957691.54,06 to 10,Jul-24
SUITES@ KATONG,TANJONG KATONG ROAD,Apartment,15,RCR,freehold,,Resale,376.74,660048.48,01 to 05,Jul-24
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,1474.67,2908049.24,06 to 10,Jul-24
THE INFINITI,WEST COAST PARK,Condominium,5,OCR,freehold,,Resale,1625.36,2379527.04,01 to 05,Jul-24
PARC VISTA,CORPORATION ROAD,Condominium,22,OCR,99 years,1995.0,Resale,1259.39,1370216.32,06 to 10,Jul-24
CITY SQUARE RESIDENCES,KITCHENER LINK,Condominium,8,RCR,freehold,,Resale,1216.33,2399819.09,06 to 10,Jul-24
SKYSUITES@ANSON,ENGGOR STREET,Apartment,2,CCR,99 years,2008.0,Resale,699.66,1609917.66,51 to 55,Jul-24
SKY HABITAT,BISHAN STREET 15,Condominium,20,RCR,99 years,2011.0,Resale,1216.33,2459419.26,26 to 30,Jul-24
GARDENVISTA,DUNEARN ROAD,Condominium,21,RCR,99 years,1999.0,Resale,947.23,1738167.05,06 to 10,Jul-24
THE GARDENS AT BISHAN,SIN MING WALK,Condominium,20,RCR,99 years,1997.0,Resale,1205.57,1949406.69,01 to 05,Jul-24
SCOTTS SQUARE,SCOTTS ROAD,Apartment,9,CCR,freehold,,Resale,947.23,3059552.9,31 to 35,Jul-24
MAYFAIR MODERN,RIFLE RANGE ROAD,Condominium,21,RCR,99 years,2018.0,Sub Sale,516.67,1118073.88,01 to 05,Jul-24
THE BENTLY RESIDENCES@KOVAN,KOVAN ROAD,Apartment,19,OCR,freehold,,Resale,1130.22,1784617.38,01 to 05,Jul-24
ONE PEARL BANK,PEARL BANK,Apartment,3,RCR,99 years,2019.0,Sub Sale,839.59,2050278.78,01 to 05,Jul-24
SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 years,2014.0,Resale,409.03,795154.32,01 to 05,Jul-24
GUILIN VIEW,BUKIT BATOK STREET 52,Condominium,23,OCR,99 years,1996.0,Resale,1280.92,1450001.4400000002,11 to 15,Jul-24
THE WARREN,CHOA CHU KANG LOOP,Condominium,23,OCR,99 years,2001.0,Resale,1216.33,1399995.8299999998,11 to 15,Jul-24
THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years,2012.0,Resale,613.55,1000086.5,01 to 05,Jul-24
ROBINSON SUITES,ROBINSON ROAD,Apartment,1,CCR,freehold,,Resale,505.91,1099848.34,31 to 35,Jul-24
THE TRE VER,POTONG PASIR AVENUE 1,Condominium,13,RCR,99 years,2018.0,Resale,613.55,1230167.75,06 to 10,Jul-24
CHANGI COURT,UPPER CHANGI ROAD EAST,Condominium,16,OCR,freehold,,Resale,968.76,1339795.08,01 to 05,Jul-24
CITY LOFT,RACE COURSE ROAD,Apartment,8,RCR,freehold,,Resale,365.98,681820.74,01 to 05,Jul-24
CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,1130.22,1299753.0,06 to 10,Jul-24
THE SEAFRONT ON MEYER,MEYER ROAD,Condominium,15,RCR,freehold,,Resale,2292.73,5300791.76,16 to 20,Jul-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,1033.34,1759778.0199999998,01 to 05,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,635.08,1447982.4,31 to 35,Jul-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,710.42,1579974.0799999998,16 to 20,Jul-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,678.13,1099926.86,06 to 10,Jul-24
RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 years,2018.0,Sub Sale,818.06,2320018.1599999997,11 to 15,Jul-24
THE RAINTREE,BUKIT DRIVE,Condominium,21,OCR,99 years,2003.0,Resale,925.7,1359853.3,01 to 05,Jul-24
SKY GREEN,MACPHERSON ROAD,Condominium,13,RCR,freehold,,Resale,1151.75,2108854.25,06 to 10,Jul-24
ALEXIS,ALEXANDRA ROAD,Apartment,3,RCR,freehold,,Resale,452.09,810145.2799999999,01 to 05,Jul-24
KERRISDALE,STURDEE ROAD,Condominium,8,RCR,99 years,1998.0,Resale,1485.43,2599502.5,21 to 25,Jul-24
KIM KEAT GARDENS,KIM KEAT ROAD,Apartment,12,RCR,99 years,2001.0,Resale,1334.74,1329401.04,06 to 10,Jul-24
SPRING GROVE,GRANGE ROAD,Condominium,10,CCR,99 years,1991.0,Resale,1786.82,3250225.58,11 to 15,Jul-24
PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 years,2019.0,Sub Sale,688.9,1364710.9,11 to 15,Jul-24
CUSCADEN RESERVE,CUSCADEN ROAD,Condominium,10,CCR,99 years,2018.0,Resale,936.47,2668003.0300000003,06 to 10,Jul-24
THE HILLIER,HILLVIEW RISE,Apartment,23,OCR,99 years,2011.0,Resale,807.3,1299753.0,11 to 15,Jul-24
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 years,1997.0,Resale,1334.74,1289358.84,01 to 05,Jul-24
GRAND DUNMAN,DUNMAN ROAD,Apartment,15,RCR,99 years,2022.0,New Sale,1431.61,3609088.81,06 to 10,Jul-24
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,New Sale,764.24,2058098.32,36 to 40,Jul-24
FIFTH AVENUE CONDOMINIUM,FIFTH AVENUE,Condominium,10,CCR,freehold,,Resale,1388.56,2900701.84,01 to 05,Jul-24
PENROSE,SIMS DRIVE,Apartment,14,RCR,99 years,2019.0,Sub Sale,645.84,1236783.6,11 to 15,Jul-24
TREASURE AT TAMPINES,TAMPINES LANE,Condominium,18,OCR,99 years,2018.0,Resale,462.85,779902.25,01 to 05,Jul-24
ALEX RESIDENCES,ALEXANDRA VIEW,Apartment,3,RCR,99 years,2013.0,Resale,925.7,1980072.3,11 to 15,Jul-24
HIGH PARK RESIDENCES,FERNVALE ROAD,Apartment,28,OCR,99 years,2014.0,Resale,452.09,730125.35,06 to 10,Jul-24
LAGOON VIEW,MARINE PARADE ROAD,Apartment,15,OCR,99 years,1977.0,Resale,1646.89,1949917.76,16 to 20,Jul-24
THE TAPESTRY,TAMPINES STREET 86,Condominium,18,OCR,99 years,2017.0,Resale,441.32,779812.44,11 to 15,Jul-24
LENTOR MANSION,LENTOR GARDENS,Apartment,26,OCR,99 years,2023.0,New Sale,1506.96,3447924.48,11 to 15,Jul-24
THE TRE VER,POTONG PASIR AVENUE 1,Condominium,13,RCR,99 years,2018.0,Resale,645.84,1280054.88,11 to 15,Jul-24
BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 years,1997.0,Resale,1184.04,1738170.72,06 to 10,Jul-24
GOLDENHILL PARK CONDOMINIUM,MEI HWAN DRIVE,Condominium,20,OCR,freehold,,Resale,1334.74,2880368.92,11 to 15,Jul-24
ECHELON,ALEXANDRA VIEW,Condominium,3,RCR,99 years,2012.0,Resale,1130.22,2320341.66,31 to 35,Jul-24
TRELLIS TOWERS,LORONG 1 TOA PAYOH,Condominium,12,RCR,freehold,,Resale,1140.98,2094839.28,16 to 20,Jul-24
SIMS URBAN OASIS,SIMS DRIVE,Condominium,14,RCR,99 years,2014.0,Resale,2034.4,3049565.6,16 to 20,Jul-24
THE LAKEGARDEN RESIDENCES,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,1334.74,2804288.74,01 to 05,Jul-24
THE LAKEGARDEN RESIDENCES,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,1097.93,2413250.14,16 to 20,Jul-24
PARC ESTA,SIMS AVENUE,Apartment,14,RCR,99 years,2018.0,Resale,1227.1,2800242.1999999997,01 to 05,Jul-24
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,Condominium,3,RCR,99 years,2014.0,Resale,807.3,1838222.1,11 to 15,Jul-24
THE PANORAMA,ANG MO KIO AVENUE 2,Condominium,20,OCR,99 years,2013.0,Resale,1140.98,2279678.04,06 to 10,Jul-24
THE EDGE ON CAIRNHILL,CAIRNHILL ROAD,Condominium,9,CCR,freehold,,Resale,2131.27,4918971.16,01 to 05,Jul-24
SCENIC HEIGHTS,BALESTIER ROAD,Apartment,12,RCR,freehold,,Resale,914.94,1499586.66,11 to 15,Jul-24
SEA ESTA,PASIR RIS LINK,Condominium,18,OCR,99 years,2012.0,Resale,979.52,1339983.36,06 to 10,Jul-24
PARC ROSEWOOD,ROSEWOOD DRIVE,Condominium,25,OCR,99 years,2011.0,Resale,516.67,659787.59,01 to 05,Jul-24
REGENTVILLE,HOUGANG STREET 92,Apartment,19,OCR,99 years,1996.0,Resale,1151.75,1360216.75,06 to 10,Jul-24
RIVERSAILS,UPPER SERANGOON CRESCENT,Condominium,19,OCR,99 years,2011.0,Resale,1108.69,1529992.2000000002,06 to 10,Jul-24
COSY LODGE,LORONG 31 GEYLANG,Apartment,14,RCR,freehold,,Resale,1291.68,1480265.28,01 to 05,Jul-24
THE LENOX,CHANGI ROAD,Apartment,14,OCR,freehold,,Resale,409.03,719892.7999999999,01 to 05,Jul-24
THE CENTRIS,JURONG WEST CENTRAL 3,Apartment,22,OCR,99 years,2006.0,Resale,871.88,1299973.08,06 to 10,Jul-24
ONE SHENTON,SHENTON WAY,Apartment,1,CCR,99 years,2005.0,Resale,581.26,1167751.34,41 to 45,Jul-24
D'LEEDON,LEEDON HEIGHTS,Condominium,10,CCR,99 years,2010.0,Resale,1011.82,1970013.54,16 to 20,Jul-24
CHILTERN PARK,SERANGOON AVENUE 3,Condominium,19,OCR,99 years,1991.0,Resale,1248.62,1880421.7199999995,01 to 05,Jul-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,Sub Sale,1011.82,1900197.96,06 to 10,Jul-24
CITYLIGHTS,JELLICOE ROAD,Condominium,8,RCR,99 years,2004.0,Resale,678.13,1280309.44,16 to 20,Jul-24
THE ESSENCE,CHONG KUO ROAD,Apartment,26,OCR,99 years,2018.0,Sub Sale,538.2,837977.4,01 to 05,Jul-24
ICON,GOPENG STREET,Apartment,2,CCR,99 years,2002.0,Resale,1119.46,2199738.9,46 to 50,Jul-24
THE WARREN,CHOA CHU KANG LOOP,Condominium,23,OCR,99 years,2001.0,Resale,1227.1,1250414.9,01 to 05,Jul-24
EAST PALM,PALM ROAD,Apartment,15,OCR,freehold,,Resale,1184.04,1880255.52,01 to 05,Jul-24
ONE LEICESTER,LEICESTER ROAD,Condominium,13,RCR,freehold,,Resale,1248.62,2000289.24,01 to 05,Jul-24
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,Resale,1280.92,2550311.72,31 to 35,Jul-24
HORIZON RESIDENCES,PASIR PANJANG HILL,Condominium,5,RCR,freehold,,Resale,1323.97,2260016.79,01 to 05,Jul-24
PARK COLONIAL,WOODLEIGH LANE,Condominium,13,RCR,99 years,2017.0,Resale,1011.82,2359564.24,01 to 05,Jul-24
RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 years,2011.0,Resale,775.01,1012938.07,06 to 10,Jul-24
THE MINTON,HOUGANG STREET 11,Condominium,19,OCR,99 years,2007.0,Resale,548.96,749879.3600000001,06 to 10,Jul-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,Apartment,28,OCR,99 years,2013.0,Resale,505.91,754817.7200000001,11 to 15,Jul-24
THE TANAMERA,TANAH MERAH KECHIL ROAD,Condominium,16,OCR,99 years,1990.0,Resale,947.23,1180248.58,01 to 05,Jul-24
THE RISE @ OXLEY - RESIDENCES,OXLEY RISE,Apartment,9,CCR,freehold,,Resale,645.84,1480265.28,01 to 05,Jul-24
PARC BOTANNIA,FERNVALE STREET,Condominium,28,OCR,99 years,2016.0,Resale,1453.14,2509572.7800000003,21 to 25,Jul-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,764.24,1679799.52,06 to 10,Jul-24
THE GREENWICH,SELETAR ROAD,Condominium,28,OCR,99 years,2009.0,Resale,882.65,1120082.85,01 to 05,Jul-24
THE ESSENCE,CHONG KUO ROAD,Apartment,26,OCR,99 years,2018.0,Sub Sale,538.2,814834.8,01 to 05,Jul-24
THOMSON GRAND,SIN MING WALK,Condominium,20,RCR,99 years,2010.0,Resale,1356.26,2415499.06,06 to 10,Jul-24
THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 years,2020.0,Sub Sale,753.48,1729990.08,06 to 10,Jul-24
CANAAN,MATTAR ROAD,Apartment,14,RCR,freehold,,Resale,947.23,1619763.3,01 to 05,Jul-24
CANAAN,MATTAR ROAD,Apartment,14,RCR,freehold,,Resale,947.23,1638707.9,01 to 05,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1065.64,1790275.2000000002,01 to 05,Jul-24
V ON SHENTON,SHENTON WAY,Apartment,1,CCR,99 years,2011.0,Resale,1528.49,2780323.31,11 to 15,Jul-24
THE CHUAN,LORONG CHUAN,Condominium,19,OCR,freehold,1877.0,Resale,1463.9,3100540.2,01 to 05,Jul-24
CANAAN,MATTAR ROAD,Apartment,14,RCR,freehold,,Resale,1162.51,1860016.0,01 to 05,Jul-24
THE SKYWOODS,DAIRY FARM HEIGHTS,Condominium,23,OCR,99 years,2012.0,Resale,1194.8,1879420.4,11 to 15,Jul-24
TERRA HILL,YEW SIANG ROAD,Apartment,5,RCR,freehold,,New Sale,904.18,2472028.1199999996,01 to 05,Jul-24
THE ARCADIA,ARCADIA ROAD,Condominium,11,CCR,99 years,1979.0,Resale,3821.22,5200680.42,01 to 05,Jul-24
LENTORIA,LENTOR HILLS ROAD,Condominium,26,OCR,99 years,2022.0,New Sale,731.95,1622001.2000000002,06 to 10,Jul-24
THE LEVELZ,FARRER ROAD,Condominium,10,CCR,freehold,,Resale,807.3,1529833.5,11 to 15,Jul-24
DUNMAN PLACE,DUNMAN ROAD,Apartment,15,RCR,freehold,,Resale,1442.38,2750618.66,01 to 05,Jul-24
LENTOR MANSION,LENTOR GARDENS,Apartment,26,OCR,99 years,2023.0,New Sale,1485.43,3426887.01,11 to 15,Jul-24
LENTOR MANSION,LENTOR GARDENS,Apartment,26,OCR,99 years,2023.0,New Sale,1227.1,2678759.3,06 to 10,Jul-24
HILLHAVEN,HILLVIEW RISE,Condominium,23,OCR,99 years,2023.0,New Sale,947.23,1847098.5,01 to 05,Jul-24
SORA,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,667.37,1524940.45,11 to 15,Jul-24
EIGHT RIVERSUITES,WHAMPOA EAST,Condominium,12,RCR,99 years,2011.0,Resale,807.3,1349805.6,01 to 05,Jul-24
BALMORAL 8,BALMORAL ROAD,Condominium,10,CCR,freehold,,Resale,1840.64,4200340.48,06 to 10,Jul-24
CUSCADEN RESERVE,CUSCADEN ROAD,Condominium,10,CCR,99 years,2018.0,Resale,2098.98,7201600.38,26 to 30,Jul-24
THE MYST,UPPER BUKIT TIMAH ROAD,Condominium,23,OCR,99 years,2023.0,New Sale,516.67,1241041.34,21 to 25,Jul-24
ST FRANCIS COURT,ST. FRANCIS ROAD,Apartment,12,RCR,99 years,1992.0,Resale,818.06,975127.52,11 to 15,Jul-24
PARC RIVIERA,WEST COAST VALE,Condominium,5,OCR,99 years,2015.0,Resale,710.42,1150169.98,01 to 05,Jul-24
TANJONG RIA CONDOMINIUM,TANJONG RHU ROAD,Condominium,15,RCR,99 years,1993.0,Resale,613.55,990269.7,01 to 05,Jul-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,Apartment,13,RCR,99 years,2017.0,Sub Sale,667.37,1530279.41,06 to 10,Jul-24
KENTISH GREEN,OXFORD ROAD,Apartment,8,RCR,99 years,1995.0,Resale,1270.15,1699460.7000000002,01 to 05,Jul-24
THE PATERSON,PATERSON ROAD,Condominium,9,CCR,freehold,,Resale,1205.57,2749905.17,11 to 15,Jul-24
KI RESIDENCES AT BROOKVALE,BROOKVALE DRIVE,Condominium,21,OCR,freehold,1885.0,Sub Sale,1173.28,2630493.76,06 to 10,Jul-24
CHANGI RISE CONDOMINIUM,SIMEI RISE,Condominium,18,OCR,99 years,2000.0,Resale,1496.2,1639835.2,01 to 05,Jul-24
BOTANIC GARDENS MANSION,TAMAN SERASI,Apartment,10,CCR,freehold,,Resale,1754.53,3740657.96,01 to 05,Jul-24
NORTHVALE,CHOA CHU KANG LOOP,Apartment,23,OCR,99 years,1995.0,Resale,721.19,809896.3700000001,06 to 10,Jul-24
WING FONG MANSIONS,LORONG 14 GEYLANG,Apartment,14,RCR,freehold,,Resale,1237.86,1237860.0,06 to 10,Jul-24
THE MAYFAIR,JURONG EAST STREET 32,Condominium,22,OCR,99 years,1996.0,Resale,635.08,779878.2400000001,06 to 10,Jul-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,Apartment,5,RCR,99 years,2005.0,Resale,613.55,960205.75,01 to 05,Jul-24
CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,Condominium,4,RCR,99 years,2007.0,Resale,2680.24,6781007.199999999,01 to 05,Jul-24
NORMANTON PARK,NORMANTON PARK,Apartment,5,RCR,99 years,2019.0,Sub Sale,656.6,1340120.6,06 to 10,Jul-24
LA FIESTA,SENGKANG SQUARE,Condominium,19,OCR,99 years,2012.0,Resale,753.48,1179949.68,01 to 05,Jul-24
HIGHLINE RESIDENCES,KIM TIAN ROAD,Condominium,3,RCR,99 years,2013.0,Resale,1151.75,2767655.25,16 to 20,Jul-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,Apartment,19,OCR,99 years,2018.0,Sub Sale,484.38,785179.98,06 to 10,Jul-24
TWIN VEW,WEST COAST VALE,Apartment,5,OCR,99 years,2017.0,Resale,1184.04,2269804.6799999997,26 to 30,Jul-24
NEWEST,WEST COAST DRIVE,Apartment,5,OCR,freehold,1928.0,Resale,635.08,1089162.2000000002,06 to 10,Jul-24
NORTHVALE,CHOA CHU KANG LOOP,Apartment,23,OCR,99 years,1995.0,Resale,1270.15,1365411.25,06 to 10,Jul-24
THE GREENWICH,SELETAR ROAD,Condominium,28,OCR,99 years,2009.0,Resale,602.78,799889.0599999999,01 to 05,Jul-24
STARS OF KOVAN,UPPER SERANGOON ROAD,Apartment,19,OCR,99 years,2015.0,Resale,742.72,1495095.36,16 to 20,Jul-24
ONE DRAYCOTT,DRAYCOTT PARK,Apartment,10,CCR,freehold,,Resale,796.54,2298017.9,01 to 05,Jul-24
ECO,BEDOK SOUTH AVENUE 3,Condominium,16,OCR,99 years,2012.0,Resale,592.02,909934.74,06 to 10,Jul-24
THE PARC CONDOMINIUM,WEST COAST WALK,Condominium,5,OCR,freehold,,Resale,1420.85,2729452.8499999996,16 to 20,Jul-24
BISHAN POINT,BRIGHT HILL DRIVE,Condominium,20,RCR,99 years,1997.0,Resale,1184.04,1880255.52,16 to 20,Jul-24
RISING COURT,JOO CHIAT ROAD,Apartment,15,RCR,freehold,,Resale,1506.96,2075083.92,01 to 05,Jul-24
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,Condominium,28,OCR,99 years,1997.0,Resale,1560.78,1560780.0,01 to 05,Jul-24
SKY GREEN,MACPHERSON ROAD,Condominium,13,RCR,freehold,,Resale,796.54,1420230.8199999998,01 to 05,Jul-24
JADESCAPE,SHUNFU ROAD,Condominium,20,RCR,99 years,2018.0,Resale,2098.98,4168574.28,01 to 05,Jul-24
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,Apartment,19,OCR,99 years,2017.0,Resale,861.12,1461320.64,01 to 05,Jul-24
THE TEMBUSU,TAMPINES ROAD,Condominium,19,OCR,freehold,,Resale,1377.79,2488288.74,16 to 20,Jul-24
ORCHARD SOPHIA,SOPHIA ROAD,Apartment,9,CCR,freehold,,New Sale,592.02,1703833.56,01 to 05,Jul-24
D'NEST,PASIR RIS GROVE,Condominium,18,OCR,99 years,2010.0,Resale,753.48,1098573.84,06 to 10,Jul-24
THE RESERVE RESIDENCES,JALAN ANAK BUKIT,Apartment,21,RCR,99 years,2021.0,New Sale,1625.36,4130039.76,16 to 20,Jul-24
PANDAN VALLEY,PANDAN VALLEY,Condominium,21,RCR,freehold,,Resale,1334.74,2250371.64,06 to 10,Jul-24
THE ARCADY AT BOON KENG,SAINT BARNABAS LANE,Apartment,12,RCR,freehold,,New Sale,667.37,1737164.11,06 to 10,Jul-24
UE SQUARE,RIVER VALLEY ROAD,Apartment,9,CCR,freehold,1953.0,Resale,1054.87,2259531.5399999996,11 to 15,Jul-24
STIRLING RESIDENCES,STIRLING ROAD,Apartment,3,RCR,99 years,2017.0,Resale,764.24,1850989.28,26 to 30,Jul-24
HILLOCK GREEN,LENTOR CENTRAL,Apartment,26,OCR,99 years,2022.0,New Sale,1184.04,2524373.28,06 to 10,Jul-24
THE LAKESHORE,JURONG WEST STREET 41,Condominium,22,OCR,99 years,2002.0,Resale,1108.69,1609817.88,01 to 05,Jul-24
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,Condominium,4,RCR,99 years,2006.0,Resale,1054.87,1799608.2199999995,01 to 05,Jul-24
PINETREE HILL,PINE GROVE,Condominium,21,RCR,99 years,2022.0,New Sale,1216.33,2898514.3899999997,06 to 10,Jul-24
LENTORIA,LENTOR HILLS ROAD,Condominium,26,OCR,99 years,2022.0,New Sale,699.66,1560241.7999999998,01 to 05,Jul-24
RIVER ISLES,EDGEDALE PLAINS,Condominium,19,OCR,99 years,2012.0,Resale,753.48,1036035.0,01 to 05,Jul-24
THE CONTINUUM,THIAM SIEW AVENUE,Apartment,15,RCR,freehold,,New Sale,667.37,1906008.72,11 to 15,Jul-24
ECO SANCTUARY,CHESTNUT AVENUE,Condominium,23,OCR,99 years,2012.0,Resale,731.95,1229676.0,21 to 25,Jul-24
HILLHAVEN,HILLVIEW RISE,Condominium,23,OCR,99 years,2023.0,New Sale,721.19,1505844.7200000002,11 to 15,Jul-24
SORA,YUAN CHING ROAD,Apartment,22,OCR,99 years,2023.0,New Sale,667.37,1466879.26,06 to 10,Jul-24
RIVERSOUND RESIDENCE,SENGKANG EAST AVENUE,Condominium,19,OCR,99 years,2011.0,Resale,1065.64,1457795.5200000005,06 to 10,Jul-24
TEMBUSU GRAND,JALAN TEMBUSU,Condominium,15,RCR,99 years,2022.0,New Sale,1431.61,3368578.3299999996,06 to 10,Jul-24
WHISTLER GRAND,WEST COAST VALE,Apartment,5,OCR,99 years,2018.0,Resale,990.29,1879570.42,21 to 25,Jul-24
RIPPLE BAY,PASIR RIS LINK,Condominium,18,OCR,99 years,2011.0,Resale,1270.15,1868390.65,01 to 05,Jul-24
CLAREMONT,KILLINEY ROAD,Apartment,9,CCR,freehold,,Resale,958.0,2259922.0,06 to 10,Jul-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,Apartment,2,RCR,freehold,,Resale,387.5,917987.5,16 to 20,Jul-24
PALM GROVE CONDOMINIUM,PALM GROVE AVENUE,Condominium,19,OCR,freehold,1878.0,Resale,1496.2,2227841.8000000003,01 to 05,Jul-24
GUILIN VIEW,BUKIT BATOK STREET 52,Condominium,23,OCR,99 years,1996.0,Resale,861.12,1029899.52,21 to 25,Jul-24
VACANZA @ EAST,LENGKONG TUJOH,Condominium,14,OCR,freehold,,Resale,484.38,734804.46,11 to 15,Jul-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,Apartment,19,OCR,99 years,2014.0,Resale,850.36,1109719.8,01 to 05,Jul-24
THE ESTUARY,YISHUN AVENUE 1,Condominium,27,OCR,99 years,2008.0,Resale,1302.44,1559020.6800000002,01 to 05,Jul-24
TIARA,KIM SENG WALK,Condominium,9,CCR,freehold,,Resale,1506.96,3300242.4,26 to 30,Jul-24
MARTIN PLACE RESIDENCES,MARTIN PLACE,Condominium,9,CCR,freehold,,Resale,592.02,1407823.56,21 to 25,Jul-24
