country_code,country_name,expectancy,gdp,total_health,private_health,military,hospital_beds,dpt_coverage,internet
DEU,Germany,81.04146341463415,54776.76682354909,11.74428654,20.757538776344052,1.48796332620564,80.0,89.0,92.4763763
DNK,Denmark,81.75365853658539,68043.54669712431,9.5572958,16.73446845477163,1.99961332917573,26.0,97.0,98.77559197
DOM,Dominican Republic,73.72,10630.431743829022,4.59880495,35.04885775708297,0.779308679345321,15.6,90.0,86.12689972
DZA,Algeria,76.261,5370.477235078005,4.35082531,46.831578206812694,7.390393273564889,19.0,92.0,76.19760132
ECU,Ecuador,77.392,6718.144793881096,7.56167889,37.894111207871774,2.2651385614971,13.9,70.0,72.6943146
EGY,Egypt,71.633,3456.7896521236303,4.88449335,53.841107649444,0.808918707093165,14.3,96.0,74.01190186
ESP,Spain,83.93414634146342,33493.22254091113,9.2206583,26.975363333707627,1.4715775760116,29.7,93.0,95.44564516
EST,Estonia,78.79268292682927,30264.006488505736,7.47082138,24.196751515775095,2.99572297522503,45.7,84.0,93.18342241
FIN,Finland,81.58536585365854,52864.693158121634,10.47389507,18.777730931576286,2.0075369530221003,36.1,91.0,93.51385075
FRA,France,82.83170731707318,44700.138417754366,11.51974583,32.2846242835315,1.9509968380005096,59.1,96.0,86.83635789
GBR,United Kingdom,81.2380975609756,49919.689662158606,10.99128914,17.95602258464118,2.23063973904322,24.6,92.0,95.44719696
GEO,Georgia,74.496,8283.669606522612,6.85758877,63.89340526366076,1.65864808405362,28.9,88.0,81.88425624
GHA,Ghana,65.498,2383.904104762212,2.94686937,28.243973093664405,0.3980802475658069,9.0,95.0,70.67430115
GRC,Greece,81.73658536585367,23343.710396456216,8.39367008,49.180046798310165,2.88325472633445,42.0,95.0,85.0102229
GTM,Guatemala,72.602,5754.428339098467,6.80241346,61.3065359840711,0.41898209578954,4.4,88.0,56.72669983
HND,Honduras,72.884,3227.4576250977575,7.70976162,58.07297913650964,1.52388630538342,6.4,73.0,58.0685997
HRV,Croatia,78.47317073170733,22183.49822584916,7.14699411,15.526514669334631,1.70663158780592,55.4,93.0,83.24117599
HUN,Hungary,76.5707317073171,22208.65098204663,6.36868954,26.73671832974258,2.04951096796972,70.1,99.0,91.4500713
IDN,Indonesia,71.146,4876.299295984298,2.70239949,45.83032606416923,0.8211081204668119,10.4,83.0,69.20836554
IND,India,72.003,2434.4482634098913,3.33944035,61.00422142418456,2.35679426678262,5.3,91.0,60.25230026
IRL,Ireland,82.80731707317074,106818.9171308039,6.57538509,22.920621562200036,0.230374711003044,29.7,93.0,96.8660965
IRN,"Iran, Islamic Republic of",77.654,5049.299316427539,6.02542305,46.13722057919876,2.35179187276968,15.6,99.0,83.71050262
ISR,Israel,83.19512195121952,52126.44892800326,7.09822369,35.36201086001763,5.384799733516219,29.8,98.0,87.03842615
ITA,Italy,83.35121951219513,39279.69978216402,8.40559483,26.774888569175893,1.60646040928357,31.4,95.0,87.0278292
JAM,Jamaica,71.479,7542.398558490543,7.60493946,29.982756506175956,1.18599590352408,17.2,99.0,89.47304282
JOR,Jordan,77.814,4906.235430066391,7.66000605,43.747100646050434,4.81224565580192,14.7,96.0,92.53443944
JPN,Japan,84.04121951219513,35215.00353536598,10.73979473,14.597446451452429,1.13954641785041,129.8,98.0,85.00990295
KAZ,Kazakhstan,74.402,12879.427525797384,3.76701546,34.30374571422779,0.440775673081948,60.6,99.0,92.87846096
KEN,Kenya,63.646,1942.5880275619108,4.35172892,35.128927924346044,0.9753881279566372,14.0,93.0,32.07040024
KGZ,Kyrgyzstan,72.2487804878049,2138.22210211478,4.50344467,42.471887140387004,3.45490593195541,44.1,86.0,91.04440308
KHM,Cambodia,70.668,2429.748534528382,4.61706829,63.15766201010838,1.5448976529505,9.0,84.0,68.92549896
KOR,"Korea, Republic of",83.42926829268293,35674.09599563203,8.5650692,41.25464311806524,2.59925771052554,124.3,98.0,97.41597478
KWT,Kuwait,83.1878048780488,34091.97148130023,4.96311998,11.362954222029476,4.76885841726812,20.4,99.0,99.74731125
LBN,Lebanon,77.817,3477.7248984268376,5.57497263,69.86590444159918,1.62409234575544,27.3,53.0,81.7059021
LKA,Sri Lanka,77.483,3815.415317674743,3.68313766,57.678378641555405,1.64003079587098,41.5,99.0,51.2
LTU,Lithuania,77.29024390243904,27983.365825688685,7.31801939,34.5947077269753,2.71300052887971,64.3,90.0,88.50287484
LUX,Luxembourg,83.30975609756099,133230.6191788991,5.78777981,11.859239908194054,0.77317942181024,42.6,99.0,99.34785707
LVA,Latvia,75.42682926829269,22710.263754419742,7.27783823,40.22097048972576,2.97016956920808,54.9,98.0,92.18791291
MAR,Morocco,75.313,3813.72607421875,6.06396198,43.02937110561113,3.59263420161027,10.0,97.0,91.0
MDA,"Moldova, Republic of",71.198,6799.585946445756,6.7359705,27.940784462258726,0.570612660188445,56.6,87.0,76.50330353
